,t2m_mean,t2m_historical,day_of_year
10024562,283.3469,4.743725331624372,1
10024563,280.08182,4.684806009928408,2
10024564,281.91113,4.621962331136091,3
10024565,284.82504,4.569230448404971,4
10024566,283.9009,4.470754801432315,5
10024567,283.0599,4.37039250691734,6
10024568,283.28076,4.3078572591146065,7
10024569,280.95465,4.373831797033813,8
10024570,280.19193,4.368396244204163,9
10024571,282.1857,4.323738656392934,10
10024572,282.26743,4.294262943422914,11
10024573,283.60983,4.28420390307421,12
10024574,281.60773,4.267204272262472,13
10024575,281.96756,4.294036319391537,14
10024576,279.06088,4.3474215871919695,15
10024577,276.81705,4.376640059308331,16
10024578,273.83987,4.377313778264758,17
10024579,275.6345,4.368727471576497,18
10024580,275.46127,4.380466020785719,19
10024581,276.79843,4.449364936642553,20
10024582,275.27103,4.5327973652661555,21
10024583,274.96112,4.58314471981392,22
10024584,275.56393,4.587449286236049,23
10024585,275.66998,4.587064715129595,24
10024586,276.55746,4.619559236852156,25
10024587,278.85236,4.664610923208865,26
10024588,277.99777,4.700036025628834,27
10024589,277.49652,4.717029850657416,28
10024590,279.2518,4.722448432736304,29
10024591,280.1434,4.715635668746847,30
10024592,280.3662,4.720400182212294,31
10024593,280.81274,4.75029133122144,32
10024594,281.85254,4.748679109899031,33
10024595,282.58823,4.724787319772634,34
10024596,281.44928,4.676238914427741,35
10024597,278.93588,4.627315018816715,36
10024598,277.1125,4.544608710064174,37
10024599,276.30084,4.445841620220424,38
10024600,276.09213,4.3660204383416135,39
10024601,278.06992,4.2878326664126245,40
10024602,278.7308,4.216576056751801,41
10024603,281.07883,4.143084220576116,42
10024604,280.44635,4.087766569804392,43
10024605,279.7335,4.016411212207848,44
10024606,279.23288,3.9770755426670705,45
10024607,280.40298,3.948261738598854,46
10024608,282.3783,3.9186853424320605,47
10024609,283.79404,3.9242776514069075,48
10024610,283.52927,3.9198885289634378,49
10024611,281.8231,3.9267860970846264,50
10024612,281.92984,3.950541277629596,51
10024613,280.792,4.0174339728627,52
10024614,280.348,4.132661946614606,53
10024615,279.4111,4.263897407345678,54
10024616,278.97754,4.387870230325861,55
10024617,278.09155,4.495912381304011,56
10024618,277.4268,4.590874152454926,57
