,country,mod_OSA,sev_OSA,panel
33,Slovakia,0.16489361702127658,0.0797872340425532,0
21,Japan,0.16729638958858103,0.06255247691015953,0
39,U.A.E,0.17164179104477612,0.04477611940298507,0
31,Russia,0.17647058823529413,0.06470588235294118,0
22,S.Korea,0.19003115264797507,0.06230529595015576,0
37,Thailand,0.19004524886877827,0.06787330316742081,0
32,Singapore,0.19344262295081968,0.07213114754098361,0
10,Estonia,0.1935483870967742,0.05806451612903226,0
6,China,0.19594594594594594,0.060810810810810814,0
26,N.Z,0.2,0.05806451612903226,0
8,Czech Republic,0.2051792828685259,0.08764940239043825,0
25,Netherlands,0.20931849791376914,0.061891515994436715,0
27,Norway,0.21106557377049182,0.0778688524590164,0
28,Poland,0.21889952153110048,0.06339712918660287,0
19,Israel,0.22413793103448276,0.07758620689655173,0
30,Romania,0.22760290556900725,0.07990314769975787,0
35,Sweden,0.23340587595212187,0.08650707290533188,0
7,Croatia,0.234375,0.0625,0
16,Hungary,0.23448275862068965,0.07816091954022988,0
38,Turkey,0.2358490566037736,0.03773584905660377,0
2,Belgium,0.23812461443553362,0.07587908698334361,0
41,USA,0.2383366187928283,0.08520291623642792,1
23,Luxembourg,0.23954372623574144,0.06463878326996197,1
29,Portugal,0.24061433447098976,0.06825938566552901,1
14,Greece,0.24199288256227758,0.06761565836298933,1
36,Switzerland,0.2444542060180101,0.08126509993410938,1
11,Finland,0.2474120082815735,0.09109730848861283,1
5,Canada,0.24948665297741274,0.09924709103353867,1
12,France,0.24994242284661447,0.07450483648088438,1
4,Bulgaria,0.25,0.08035714285714286,1
17,India,0.2524271844660194,0.08737864077669903,1
0,Australia,0.25885302413036665,0.09464117831400815,1
9,Denmark,0.2600561272217025,0.09635173058933583,1
3,Brazil,0.26595744680851063,0.06914893617021277,1
34,Spain,0.26704907584448695,0.10452517527087317,1
40,UK,0.2723115299334812,0.0985310421286031,1
18,Ireland,0.2747524752475248,0.08415841584158416,1
24,Mexico,0.28825622775800713,0.12455516014234876,1
1,Austria,0.2921933085501859,0.09293680297397769,1
13,Germany,0.31273417351953675,0.11576079022918592,1
20,Italy,0.3234836702954899,0.12389839294971487,1
