city,exp,year,country,lbf2023,t2m_mean_corrected,climate_absenteism_mean_lowess_corrected,climate_absenteism_min_lowess_corrected,climate_absenteism_max_lowess_corrected,climate_presenteism_mean_lowess_corrected,climate_presenteism_min_lowess_corrected,climate_presenteism_max_lowess_corrected,labor_loss_mean_lowess_corrected,labor_loss_min_lowess_corrected,labor_loss_max_lowess_corrected
Amsterdam,ssp126,2024,Netherlands,6946230.2724,11.518050816724497,644992.7099023064,322496.3549511532,967489.0648536456,2061396.700847739,1515732.868270444,2607060.533424151,952791393.0761684,647153353.2573146,1258429432.8954244
Amsterdam,ssp126,2025,Netherlands,6946230.2724,11.51944104630733,645452.0496356513,322726.02481782564,968178.0744534892,2062864.7506356589,1516812.316643827,2608917.1846267977,953469935.5432172,647614231.7202004,1259325639.3658764
Amsterdam,ssp126,2026,Netherlands,6946230.2724,11.521555168797368,646139.232104638,323069.616052319,969208.8481568492,2065060.9858065215,1518427.1954461362,2611694.7761666216,954485050.1821544,648303716.1628842,1260666384.201461
Amsterdam,ssp126,2027,Netherlands,6946230.2724,11.524397680529932,647052.9278228234,323526.4639114117,970579.3917340568,2067981.1573218224,1520574.380383593,2615387.9342591893,955834773.0592526,649220472.6450931,1262449073.473364
Amsterdam,ssp126,2028,Netherlands,6946230.2724,11.527895119456964,648168.6739724061,324084.33698620304,972253.0109585252,2071547.0820156145,1523196.3838353085,2619897.780196057,957482967.390606,650339956.4021257,1264625978.3790405
Amsterdam,ssp126,2029,Netherlands,6946230.2724,11.531946598246789,649456.0512486486,324728.0256243243,974184.0768728398,2075661.5397907689,1526221.7204344482,2625101.359146605,959384697.3939954,651631646.2281164,1267137748.559971
Amsterdam,ssp126,2030,Netherlands,6946230.2724,11.536410656137182,650868.7370956044,325434.3685478022,976303.1056433734,2080176.4837576055,1529541.5321748424,2630811.4353400795,961471534.8038974,653049064.39257,1269894005.2152746
Amsterdam,ssp126,2031,Netherlands,6946230.2724,11.541043688652596,652330.7247218268,326165.3623609134,978496.087082677,2084848.996210946,1532977.2030964177,2636720.7893252387,963631201.4259472,654515949.4909761,1272746453.3609347
Amsterdam,ssp126,2032,Netherlands,6946230.2724,11.545489920606927,653738.4019434445,326869.20097172225,980607.6029151076,2089347.9326112545,1536285.2445672469,2642410.620655077,965710640.0310708,655928342.2518404,1275492937.810324
Amsterdam,ssp126,2033,Netherlands,6946230.2724,11.549789233377428,655128.2999857313,327564.1499928656,982692.449978536,2093790.046754419,1539551.5049666197,2648028.588541992,967763815.0074954,657322896.2753899,1278204733.7396245
Amsterdam,ssp126,2034,Netherlands,6946230.2724,11.555641342134244,657042.4939548252,328521.2469774126,985563.7409321736,2099907.8106796374,1544049.860794,2655765.76056507,970591486.5616516,659243502.5502518,1281939470.5730658
Amsterdam,ssp126,2035,Netherlands,6946230.2724,11.56133176536889,658878.6037033002,329439.3018516501,988317.905554892,2105776.0174357607,1548364.7187029072,2663187.3161684275,973303811.1170064,661085763.0323215,1285521859.201697
Amsterdam,ssp126,2036,Netherlands,6946230.2724,11.56705454373439,660675.7681140114,330337.8840570057,991013.65217096,2111519.7548923874,1552588.0550680892,2670451.454716515,975958605.1265728,662888947.7147053,1289028262.5384707
Amsterdam,ssp126,2037,Netherlands,6946230.2724,11.573459189958706,662642.3706384195,331321.18531920976,993963.5559575672,2117805.016560396,1557209.5710004382,2678400.462120173,978863695.261842,664862138.1068681,1292865252.41684
Amsterdam,ssp126,2038,Netherlands,6946230.2724,11.581659677980578,665159.8791568329,332579.93957841647,997739.8187351882,2125850.973785241,1563125.7160187094,2688576.231551597,982582590.7028518,667388079.9578872,1297777101.4478416
Amsterdam,ssp126,2039,Netherlands,6946230.2724,11.591297608057817,668144.8707618,334072.4353809,1002217.3061426394,2135391.006954716,1570140.446290382,2700641.567618876,986992058.0750468,670383070.9042063,1303601045.2459104
Amsterdam,ssp126,2040,Netherlands,6946230.2724,11.601140864536902,671261.7391388862,335630.8695694431,1006892.608708268,2145352.5182878817,1577465.086976533,2713239.949599057,991596335.4838376,673510380.3930187,1309682290.574682
Amsterdam,ssp126,2041,Netherlands,6946230.2724,11.610395003427524,674277.684837006,337138.842418503,1011416.5272554472,2154991.4807390734,1584552.559367114,2725430.4021108635,996051528.6341454,676536429.1247555,1315566628.1435556
Amsterdam,ssp126,2042,Netherlands,6946230.2724,11.619057483631124,677148.1746882112,338574.0873441056,1015722.262032256,2164165.566303528,1591298.2105174498,2737032.922089437,1000291852.5667295,679416534.7510338,1321167170.3824482
Amsterdam,ssp126,2043,Netherlands,6946230.2724,11.62754433176078,679965.0823531442,339982.5411765721,1019947.6235296554,2173168.403200656,1597917.9435300403,2748418.8628711,1004453024.2157016,682242878.6975499,1326663169.7338758
Amsterdam,ssp126,2044,Netherlands,6946230.2724,11.636131108133467,682784.1115371569,341392.05576857843,1024176.1673056696,2182178.020472754,1604542.6621124705,2759813.378832859,1008617329.799497,685071351.2699544,1332163308.3290637
Amsterdam,ssp126,2045,Netherlands,6946230.2724,11.646224474761713,686014.7977721283,343007.3988860641,1029022.1966581328,2192503.2936797254,1612134.7747646547,2772871.812594618,1013389740.38826,688312859.8919702,1338466620.8845742
Amsterdam,ssp126,2046,Netherlands,6946230.2724,11.657985263541688,689739.3020040579,344869.65100202896,1034608.9530060288,2204406.80920497,1620887.3597096892,2787926.258700077,1018891625.1711044,692049840.7382783,1345733409.6039577
Amsterdam,ssp126,2047,Netherlands,6946230.2724,11.670388213928849,693641.529938684,346820.764969342,1040462.2949079652,2216878.329684047,1630057.5953560614,2803699.064011837,1024656045.656567,695965140.6390347,1353346950.6741328
Amsterdam,ssp126,2048,Netherlands,6946230.2724,11.681157550174577,697008.8558951452,348504.4279475726,1045513.283842657,2227640.303440896,1637970.811353746,2817309.795527854,1029630302.1710068,699343746.7081815,1359916857.6338527
Amsterdam,ssp126,2049,Netherlands,6946230.2724,11.688829641400517,699370.8537330313,349685.42686651566,1049056.2805994917,2235189.2485307814,1643521.5062727744,2826856.990788569,1033119475.266842,701713656.9377186,1364525293.595991
Amsterdam,ssp126,2050,Netherlands,6946230.2724,11.693639726946731,700825.3192450604,350412.6596225302,1051237.9788675304,2239837.720307216,1646939.5002260436,2832735.940388193,1035268030.1266288,703172994.7238028,1367363065.529492
Amsterdam,ssp126,2051,Netherlands,6946230.2724,11.697041677459662,701809.8764810086,350904.9382405043,1052714.814721452,2242984.365233295,1649253.209730521,2836715.5207358957,1036722430.5345712,704160850.100976,1369284010.968187
Amsterdam,ssp126,2052,Netherlands,6946230.2724,11.699740105225338,702542.4779929854,351271.2389964927,1053813.7169894208,2245325.7596655893,1650974.823283667,2839676.696047317,1037804638.7587136,704895905.7346237,1370713371.782821
Amsterdam,ssp126,2053,Netherlands,6946230.2724,11.701854369743645,703061.6032569075,351530.8016284538,1054592.404885297,2246984.8840090693,1652194.7676538834,2841775.000364083,1038571497.1678022,705416770.0020051,1371726224.3336325
Amsterdam,ssp126,2054,Netherlands,6946230.2724,11.702854632536722,703215.882077946,351607.941038973,1054823.8231168634,2247477.9591211067,1652557.3228833328,2842398.5953587224,1038799399.7945604,705571565.6374276,1372027233.9517052
Amsterdam,ssp126,2055,Netherlands,6946230.2724,11.70344537933324,703227.9557248614,351613.9778624307,1054841.9335872252,2247516.546496646,1652585.6959535563,2842447.397039559,1038817235.13856,705583679.7295227,1372050790.5476215
