city,est_wsa_binary,lb_wsa_binary,hb_wsa_binary
Tokyo,1.951377449367046,1.8057882790888977,2.1032243324440287
Amsterdam,1.8615465819129837,1.7400960678904287,1.9857177028408814
Prague,1.8479509965062884,1.5903389577442153,2.122812113841706
Sofia,1.7963773710302129,1.3308495358486092,2.2614442966316606
Zurich,1.7864616300871943,1.7234513391243276,1.8499181783554022
Athens,1.783154551674236,1.2947731464518328,2.3214225741507257
Tallinn,1.732039352869549,1.2040147623178132,2.3623995565198705
Luxembourg,1.7200512500492484,1.414814916733317,2.0487758139313326
Copenhagen,1.7127962986701872,1.5470654024993973,1.881759032920551
Helsinki,1.7026763168941361,1.570845693797039,1.8386271126645988
Warsaw,1.6522233320282609,1.4854090859803557,1.8251626113220234
Budapest,1.6402783075674847,1.412913059146151,1.8804690889907425
Brussels,1.5811798895634301,1.4698635825805721,1.6956776602277388
Stockholm,1.5737361868611663,1.4475226695156063,1.7041684615816455
Paris,1.5696224884535634,1.5371370870295373,1.6023594373730201
Berlin,1.562289255137523,1.537009703440092,1.5876202973664992
Oslo,1.555116806000632,1.38974180599538,1.7289160233071297
Moscow,1.5274045679728294,1.0874851374917425,2.0742392042427134
Bratislava,1.522753736803073,1.1714260730150527,1.9345294618284858
Dublin,1.4553422086060568,1.254667056382647,1.6689994604291518
London,1.4542980712278717,1.4009813435958665,1.508352408346941
Lisbon,1.4296031572103216,1.249566167693947,1.6206798013817427
Mexico_City,1.4213784714709925,1.1091169652034454,1.7407903297392398
Rome,1.3940934783345924,1.279530801941116,1.5115523010397087
Bucharest,1.3854089115068313,1.1425403344217895,1.6524355159965685
Sydney,1.3539968755604246,1.1699086879646152,1.5536985766110196
Sydney,1.3539968755604246,1.1699086879646152,1.5536985766110196
Madrid,1.286928799098324,1.1592524305291854,1.4207760663717468
Auckland,1.2207920778994792,0.8637911675029153,1.6528439823474683
Toronto,1.2067361468745958,1.1096803435313283,1.308825946650684
Zagreb,1.1170130106145781,0.6348878430093701,1.8000867465608041
Seoul,1.1139060536797,0.7456721981667483,1.6146708311274822
Shanghai,1.0955180334182961,0.7659155068170794,1.5266460343061965
Bangkok,1.0916524482490109,0.8036836645354289,1.4548958309461526
New_York,1.0732073093907315,1.0334675511426685,1.1139544827081793
Singapore,1.0365675137627848,0.8565727188398143,1.2450698301551857
Vienna,1.0167108101348339,0.9356878044415707,1.1016157544150726
Istanbul,0.9875417496433028,0.5432584744571984,1.5461215167586924
Dubai,0.9726355438256747,0.5226272437330508,1.692305131129519
Sao_Paulo,0.9253786774259039,0.6757575503995146,1.2328482594878711
Jerusalem,0.8972752605716481,0.5550269368830594,1.3574195519868861
Kolkata,0.7621256695994733,0.4566262174121586,1.1957703966022148
