city,exp,year,country,adult_population,t2m_mean_corrected,osa_person_days_corrected,yld_diff_mean_corrected,yld_diff_max_corrected,yld_diff_min_corrected,yll_diff_corrected,yll_diff_min_corrected,yll_diff_max_corrected,money_cost_corrected,money_cost_min_corrected,money_cost_max_corrected,population_adult
Amsterdam,ssp370,2024,Netherlands,14475086.0,11.555757904552655,101655026.66982311,22280.553790649537,26012.456132129795,18548.65144916928,330.931946219023,257.0256022044239,404.8382902336223,2828096848.6534324,1414048424.3267162,4242145272.9801483,14475086.0
Amsterdam,ssp370,2025,Netherlands,14595382.5,11.53986567669249,101134832.5122424,22166.53863282363,25855.685290119174,18477.391975528088,329.2384848072319,256.1788714985283,402.29809811593543,2813624770.8237743,1406812385.4118872,4220437156.2356615,14595382.5
Amsterdam,ssp370,2026,Netherlands,14699932.499999998,11.485237413129532,98908203.29265583,21678.51031072246,25184.646347230064,18172.374274214857,321.9898246545046,252.55454142216465,391.42510788684444,2751678762.984096,1375839381.492048,4127518144.476144,14699932.499999998
Amsterdam,ssp370,2027,Netherlands,14791270.499999998,11.621319598700964,105664595.68924868,23159.36343874281,27220.81939825805,19097.90747922758,343.9848617763406,263.55205998308264,424.41766356959874,2939645188.954644,1469822594.477322,4409467783.431967,14791270.499999998
Amsterdam,ssp370,2028,Netherlands,14874529.999999998,11.592232756064373,106211524.58410989,23279.238265013762,27385.647284380604,19172.82924564692,345.7653565491936,264.44230736950914,427.0884057288781,2954861041.378924,1477430520.689462,4432291562.068386,14874529.999999998
Amsterdam,ssp370,2029,Netherlands,14951314.5,11.506982487967313,101479208.98708987,22242.018408132666,25959.469981169095,18524.566835096237,330.35958211827267,256.7394201540487,403.97974408249667,2823205507.3123856,1411602753.6561928,4234808260.9685783,14951314.5
Amsterdam,ssp370,2030,Netherlands,15019113.5,11.424504176424724,97679550.87185588,21409.216629451243,24814.36753548214,18004.065723420346,317.9900191341863,250.5546386620055,385.425399606367,2717496999.8860426,1358748499.9430213,4076245499.829064,15019113.5
Amsterdam,ssp370,2031,Netherlands,15076884.499999998,11.618011653559075,109613475.37857169,24024.871315854707,28410.892729286905,19638.849902422513,356.84020679746834,269.9797324936465,443.70068110129006,3049505119.849725,1524752559.9248624,4574257679.774588,15076884.499999998
Amsterdam,ssp370,2032,Netherlands,15124513.0,11.696177099407855,114804631.01967694,25162.658853631197,29975.350593729578,20349.967113532817,373.7397079408476,278.42948306533617,469.04993281635905,3193925827.712617,1596962913.8563085,4790888741.568926,15124513.0
Amsterdam,ssp370,2033,Netherlands,15164073.5,11.717029089310836,116015111.82947148,25427.96971605192,30340.15302955807,20515.78640254577,377.68035685285093,280.39980752133783,474.96090618436415,3227602046.9383917,1613801023.4691958,4841403070.407587,15164073.5
Amsterdam,ssp370,2034,Netherlands,15198826.0,11.763684761231357,120901246.55146244,26498.90335374857,31812.686781390963,21185.119926106177,393.58688037665917,288.3530692832419,498.82069147007627,3363536910.781763,1681768455.3908815,5045305366.172645,15198826.0
Amsterdam,ssp370,2035,Netherlands,15228836.0,11.887549394490689,126619358.46049163,27752.18815572757,33535.95338411209,21968.422927343054,412.2018565833895,297.6605573866071,526.7431557801721,3522617821.976598,1761308910.988299,5283926732.964897,15228836.0
Amsterdam,ssp370,2036,Netherlands,15255150.5,11.834358848157459,126769527.91240728,27785.102008202233,33581.20993126475,21988.994085139715,412.6907243808129,297.90499128531883,527.4764574763071,3526795615.9100547,1763397807.9550273,5290193423.865082,15255150.5
Amsterdam,ssp370,2037,Netherlands,15277882.000000002,11.92339261951579,130880484.1813847,28686.13351921098,34820.12825890178,22552.13877952018,426.073700151729,304.59647917077683,547.5509211326811,3641164603.3582344,1820582301.6791172,5461746905.037352,15277882.000000002
Amsterdam,ssp370,2038,Netherlands,15295838.000000002,11.776441324894126,124196246.42175148,27221.09510614069,32805.70044093012,21636.489771351247,404.3135581966155,293.7164081932201,514.9107082000107,3455205557.7218046,1727602778.8609023,5182808336.582706,15295838.000000002
Amsterdam,ssp370,2039,Netherlands,15311246.5,12.037078690992503,140715326.17959055,30841.715327036924,37784.05324466245,23899.377409411398,458.0904484606367,320.6048533252307,595.5760435960428,3914775132.7466745,1957387566.3733373,5872162699.120012,15311246.5
Amsterdam,ssp370,2040,Netherlands,15324504.5,12.020634185839556,140520192.82147402,30798.9463718333,37725.245931257465,23872.646812409133,457.45520331743757,320.2872307536311,594.6231758812444,3909346419.054543,1954673209.5272715,5864019628.581815,15324504.5
Amsterdam,ssp370,2041,Netherlands,15341179.5,11.865553541273691,130871414.0975012,28684.14555562008,34817.394808964294,22550.89630227587,426.0441730283759,304.5817156091003,547.5066304476517,3640912268.805894,1820456134.402947,5461368403.208841,15341179.5
Amsterdam,ssp370,2042,Netherlands,15356574.5,11.95849639805939,137597062.90011346,30158.260361672084,36844.302667285796,23472.218056058373,447.9391261925067,315.5291921911657,580.3490601938477,3828023391.6586227,1914011695.8293114,5742035087.487934,15356574.5
Amsterdam,ssp370,2043,Netherlands,15362421.5,12.156838290733264,151289027.89541888,33159.23899078011,40970.64828230934,25347.82969925089,492.5125110205538,337.81588460518924,647.2091374359184,4208941132.0165167,2104470566.0082583,6313411698.024775,15362421.5
Amsterdam,ssp370,2044,Netherlands,15364564.000000002,12.042597269815191,145643956.46997076,31921.963061914776,39269.3938801195,24574.532243710055,474.13531380199623,328.6272859959105,619.6433416080822,4051892245.879436,2025946122.939718,6077838368.819154,15364564.000000002
Amsterdam,ssp370,2045,Netherlands,15367055.0,12.035171934567545,144309330.01671404,31629.44219544755,38867.17768872706,24391.70670216804,469.79051606674807,326.4548871282864,613.1261450052098,4014762228.89716,2007381114.44858,6022143343.34574,15367055.0
Amsterdam,ssp370,2046,Netherlands,15370214.499999998,12.011965975078684,143902888.76916203,31540.359182285465,38744.68854562919,24336.029818941737,468.467370547216,325.7933143685203,611.1414267259117,4003454817.458492,2001727408.729246,6005182226.187737,15370214.499999998
Amsterdam,ssp370,2047,Netherlands,15372084.5,12.150320607231164,152845290.9355787,33500.33773930829,41439.65906153558,25561.016417081002,497.5788335978095,340.3490458938171,654.8086213018018,4252237196.596249,2126118598.2981246,6378355794.894374,15372084.5
Amsterdam,ssp370,2048,Netherlands,15372016.999999998,12.091409685708708,152114801.7795992,33340.23052703882,41219.51164466505,25460.94940941258,495.2007692167395,339.16001370328206,651.2415247301972,4231914600.1868186,2115957300.0934093,6347871900.280228,15372016.999999998
Amsterdam,ssp370,2049,Netherlands,15370918.000000002,12.141455448125363,156932143.09226248,34396.08615721159,42671.31313615262,26120.859178270563,510.88333985221936,347.001299021022,674.7653806834164,4365935594.834526,2182967797.417263,6548903392.251789,15370918.000000002
Amsterdam,ssp370,2050,Netherlands,15368684.5,12.112458776009703,155113433.93980625,33997.46497311159,42123.209008015125,25871.72093820807,504.962639428977,344.04094880940085,665.884330048553,4315338139.979844,2157669069.989922,6473007209.969767,15368684.5
Amsterdam,ssp370,2051,Netherlands,15364012.499999998,12.08777585037378,153735853.63204756,33695.529563191885,41708.04781937552,25683.011307008248,500.4780079527555,341.79863307129006,659.1573828342209,4277013123.945047,2138506561.9725235,6415519685.91757,15364012.499999998
Amsterdam,ssp370,2052,Netherlands,15358043.499999998,12.159587365360647,160873745.61320478,35259.99903851401,43859.193347943445,26660.80472908458,523.7149944807111,353.4171263352679,694.0128626261542,4475593071.039083,2237796535.5195413,6713389606.558624,15358043.499999998
Amsterdam,ssp370,2053,Netherlands,15351454.500000002,12.230732332431572,163704801.1486448,35880.504361350184,44712.388166843186,27048.620555857182,532.9313288705528,358.0252935301887,707.8373642109167,4554354540.101945,2277177270.0509725,6831531810.152918,15351454.500000002
Amsterdam,ssp370,2054,Netherlands,15342758.5,12.162153047419755,159588306.04250276,34978.258858634115,43471.80060060859,26484.71711665964,519.5303217417911,351.3247899658079,687.7358535177744,4439831459.261203,2219915729.6306014,6659747188.891804,15342758.5
Amsterdam,ssp370,2055,Netherlands,15332216.5,12.291021506383329,168344630.3406152,36897.45322534369,46110.692854834255,27684.21359585313,548.0360192624003,365.57763872611247,730.4943997986883,4683437053.244356,2341718526.622178,7025155579.866534,15332216.5
Amsterdam,ssp370,2056,Netherlands,15318620.000000002,12.120601569114429,157520037.97721183,34524.93983062515,42848.486937096255,26201.392724154037,512.797196990641,347.95822759023287,677.6361663910493,4382291142.867235,2191145571.4336176,6573436714.300853,15318620.000000002
Amsterdam,ssp370,2057,Netherlands,15302362.0,12.194285004455823,159448501.86792213,34947.61684776713,43429.66783566649,26465.56585986778,519.0751974936438,351.09722784173425,687.0531671455534,4435942032.850011,2217971016.4250054,6653913049.275017,15302362.0
Amsterdam,ssp370,2058,Netherlands,15285258.499999998,12.234614282457883,163747629.37644508,35889.89137018312,44725.295303988474,27054.48743637777,533.0707536412045,358.0950059155146,708.0465013668947,4555546044.152883,2277773022.0764413,6833319066.229324,15285258.499999998
Amsterdam,ssp370,2059,Netherlands,15267701.5,12.197606808821133,161036348.9514225,35295.63812634256,43908.1970937077,26683.079158977416,524.2443400619472,353.68179912588596,694.8068809980084,4480116782.295268,2240058391.147634,6720175173.442902,15267701.5
Amsterdam,ssp370,2060,Netherlands,15249276.999999998,12.410174152832107,174307298.54630694,38204.33940741312,47907.66135517971,28501.017459646515,567.447134075021,375.28319613242286,759.611072017619,4849321650.538809,2424660825.2694044,7273982475.808213,15249276.999999998
Amsterdam,ssp370,2061,Netherlands,15230039.5,12.515975788207838,182545977.03911892,40010.07715926232,50390.550763972366,29629.603554552268,594.2676661944483,388.6934621921365,799.8418701967602,5078526063.2066145,2539263031.6033072,7617789094.809921,15230039.5
Amsterdam,ssp370,2062,Netherlands,15211465.499999998,12.339331504327323,170051625.67731196,37271.5891895512,46625.12980561958,27918.048573482818,553.5930419445613,368.35615006719297,738.8299338219294,4730926570.393936,2365463285.196968,7096389855.590904,15211465.499999998
Amsterdam,ssp370,2063,Netherlands,15193677.0,12.370378177442396,170996587.89056095,37478.70419519482,46909.91293837955,28047.49545201008,556.6693107192443,369.8942844545345,743.4443369839541,4757215921.20062,2378607960.60031,7135823881.80093,15193677.0
Amsterdam,ssp370,2064,Netherlands,15176181.0,12.456349660036652,180692887.35506684,39603.92051618241,49832.085379737495,29375.755652627326,588.235041977511,385.6771500836678,790.7929338713542,5026972123.697444,2513486061.848722,7540458185.546165,15176181.0
Amsterdam,ssp370,2065,Netherlands,15159391.999999998,12.293438203035318,166206142.91999102,36428.74365370003,45466.217193824225,27391.27011357584,541.0742995397673,362.09677886479597,720.0518202147385,4623943197.079281,2311971598.5396404,6935914795.618921,15159391.999999998
Amsterdam,ssp370,2066,Netherlands,15143740.5,12.427492645261115,175299283.0485826,38421.76066818586,48206.61558874224,28636.905747629484,570.6764811394163,376.8978696646205,764.4550926142122,4876919186.407944,2438459593.203972,7315378779.611916,15143740.5
Amsterdam,ssp370,2067,Netherlands,15130375.500000002,12.45279956000364,177082034.16667664,38812.50063927498,48743.88304898977,28881.11822956018,576.48012230171,379.79969024576735,773.1605543576525,4926516269.643094,2463258134.821547,7389774404.464642,15130375.500000002
Amsterdam,ssp370,2068,Netherlands,15118625.000000002,12.508604671412419,181428295.2835629,39765.105815578805,50053.71516640754,29476.496464750075,590.6291191325207,386.8741886611727,794.3840496038687,5047431562.971503,2523715781.4857516,7571147344.457254,15118625.000000002
Amsterdam,ssp370,2069,Netherlands,15107327.5,12.521296513417608,182004295.8136726,39891.3525071097,50227.30436726252,29555.400646956885,592.5042548999977,387.8117565449112,797.196753255084,5063456203.733408,2531728101.866704,7595184305.600112,15107327.5
Amsterdam,ssp370,2070,Netherlands,15096414.0,12.524802916687461,182162895.0036391,39926.11397340373,50275.1013834168,29577.126563390648,593.0205652126674,388.06991170124604,797.9712187240891,5067868517.457942,2533934258.728971,7601802776.186913,15096414.0
Amsterdam,ssp370,2071,Netherlands,15086122.500000002,12.537039767707142,181171560.31588307,39708.83513773118,49976.342984367046,29441.327291095306,589.793333581131,386.45629588547786,793.1303712767842,5040289059.7739725,2520144529.8869863,7560433589.660959,15086122.500000002
Amsterdam,ssp370,2072,Netherlands,15076022.0,12.641684083454372,191666316.47289264,42009.055665294916,53139.14620976719,30878.965120822642,623.9583935285742,403.53882585919945,844.3779611979492,5332258751.655735,2666129375.8278675,7998388127.483603,15076022.0
Amsterdam,ssp370,2073,Netherlands,15065488.000000002,12.58430898268921,184891387.35058808,40524.13969328295,51097.38674825074,29950.892638315167,601.9030111890222,392.51113468942344,811.2948876886209,5143776624.127801,2571888312.0639005,7715664936.191702,15065488.000000002
Amsterdam,ssp370,2074,Netherlands,15054952.999999998,12.760482944226577,195034307.01290783,42747.24537269551,54154.157057443,31340.333687948012,634.9226881706355,409.0209731802301,860.8244031610411,5425958037.805621,2712979018.9028106,8138937056.708431,15054952.999999998
Amsterdam,ssp370,2075,Netherlands,15043678.499999998,12.856049536942935,203778440.40061274,44663.76775904179,56789.37533866914,32538.160179414437,663.3886989011321,423.2539785454784,903.5234192567857,5669224474.184521,2834612237.0922604,8503836711.276781,15043678.499999998
Amsterdam,ssp370,2076,Netherlands,15029752.0,12.852216515641828,204610111.43692425,44846.051821794994,57040.015924954794,32652.08771863519,666.0961549284125,424.6077065591186,907.5846032977063,5692362004.260117,2846181002.1300583,8538543006.390175,15029752.0
Amsterdam,ssp370,2077,Netherlands,15013127.499999998,12.69903393186068,191689891.2217768,42014.2227335435,53146.250928609,30882.19453847801,624.0351397337099,403.5771989617673,844.4930805056524,5332914613.694349,2666457306.8471746,7999371920.541524,15013127.499999998
Amsterdam,ssp370,2078,Netherlands,14995533.500000002,12.771280913438373,196446595.75586486,43056.78811087787,54579.778322443744,31533.797899311987,639.520310911398,411.31978455061136,867.720837272185,5465248660.947335,2732624330.4736676,8197872991.421003,14995533.500000002
Amsterdam,ssp370,2079,Netherlands,14977288.5,12.889124427839105,205591585.48022875,45061.16942032749,57335.80262293698,32786.536217718,669.2912858132745,426.2052720015496,912.3772996249995,5719667133.576739,2859833566.7883697,8579500700.3651085,14977288.5
Amsterdam,ssp370,2080,Netherlands,14958287.999999998,12.942264385196902,212154446.90709922,46499.60480155937,59313.65127213081,33685.55833098793,690.6562942728594,436.88777623134206,944.424812314377,5902249425.151588,2951124712.575794,8853374137.727383,14958287.999999998
