city,exp,year,country,adult_population,t2m_mean_corrected,osa_person_days_corrected,yld_diff_mean_corrected,yld_diff_max_corrected,yld_diff_min_corrected,yll_diff_corrected,yll_diff_min_corrected,yll_diff_max_corrected,money_cost_corrected,money_cost_min_corrected,money_cost_max_corrected,population_adult
Amsterdam,ssp585,2024,Netherlands,14327401.5,11.555757904552655,101655026.66982311,22280.553790649537,25679.135761414665,18881.97181988441,330.931946219023,263.62665650087,398.237235937176,2828096848.6534324,1414048424.3267162,4242145272.9801483,14327401.5
Amsterdam,ssp585,2025,Netherlands,14327401.5,11.6031498536404,102430198.08525664,22450.454374854144,25912.749064696,18988.159685012288,333.4554710614884,264.88841892210274,402.0225232008742,2849662529.2594085,1424831264.6297042,4274493793.8891125,14327401.5
Amsterdam,ssp585,2026,Netherlands,14327401.5,11.55563673182936,101164788.71529377,22173.104375958173,25531.39281621404,18814.815935702307,329.3360054601879,262.82868612145245,395.8433247989234,2814458168.307622,1407229084.153811,4221687252.461433,14327401.5
Amsterdam,ssp585,2027,Netherlands,14327401.5,11.783190122098139,110604878.0675335,24242.165055901125,28376.351251135602,20107.978860666655,360.06765980292124,278.1945132928191,441.9408063130234,3077086469.363366,1538543234.681683,4615629704.04505,14327401.5
Amsterdam,ssp585,2028,Netherlands,14327401.5,11.804928957014356,113491257.49974868,24874.796164331852,29246.219025227845,20503.373303435856,369.46409787707637,282.8927323298967,456.03546342425614,3157387078.6266747,1578693539.3133373,4736080617.940012,14327401.5
Amsterdam,ssp585,2029,Netherlands,14327401.5,11.703308685216284,107374569.28185304,23534.152171368427,27402.833534903133,19665.470807833713,349.5515799950248,272.9364733888709,426.16668660117875,2987217562.765844,1493608781.382922,4480826344.148766,14327401.5
Amsterdam,ssp585,2030,Netherlands,14327401.5,11.795780722183657,111374328.6821728,24410.811765959057,28608.240477465253,20213.38305445286,362.57256091567274,279.44696384919484,445.69815798215063,3098492994.2519336,1549246497.1259668,4647739491.3779,14327401.5
Amsterdam,ssp585,2031,Netherlands,14327401.5,11.665683979018915,105087687.93707845,23032.91790402057,26713.636417299836,19352.199390741305,342.1067726009313,269.2140696918242,414.99947551003845,2923595308.7930326,1461797654.3965163,4385392963.1895485,14327401.5
Amsterdam,ssp585,2032,Netherlands,14327401.5,11.80778601862056,113029213.90863112,24773.526336141702,29106.97301146639,20440.079660817013,367.9599422061207,282.14065449441887,453.7792299178226,3144532780.4499197,1572266390.2249599,4716799170.674879,14327401.5
Amsterdam,ssp585,2033,Netherlands,14327401.5,11.819257595185475,111938655.24903232,24534.4997806132,28778.311497614704,20290.6880636117,364.40969278403094,280.365529783374,448.45385578468796,3114192859.154142,1557096429.577071,4671289288.731213,14327401.5
