city,exp,year,country,lbf2023,t2m_mean_corrected,climate_absenteism_mean_lowess_corrected,climate_absenteism_min_lowess_corrected,climate_absenteism_max_lowess_corrected,climate_presenteism_mean_lowess_corrected,climate_presenteism_min_lowess_corrected,climate_presenteism_max_lowess_corrected,labor_loss_mean_lowess_corrected,labor_loss_min_lowess_corrected,labor_loss_max_lowess_corrected
Amsterdam,ssp245,2024,Netherlands,6946230.2724,11.42951814989858,611430.5733290702,305715.2866645351,917145.8599934842,1954132.1123601596,1436861.8473234132,2471402.3773963223,903212980.2209946,613478787.8051139,1192947172.6368334
Amsterdam,ssp245,2025,Netherlands,6946230.2724,11.449691583843729,617486.3116115957,308743.15580579784,926229.4674172772,1973486.2519106453,1451092.832287259,2495879.671533879,912158593.44359,619554812.0387117,1204762374.8483863
Amsterdam,ssp245,2026,Netherlands,6946230.2724,11.470066135781606,623622.228610567,311811.1143052835,935433.342915742,1993096.642639593,1465512.2372350304,2520681.048043439,921222647.6810112,625711283.577508,1216734011.784681
Amsterdam,ssp245,2027,Netherlands,6946230.2724,11.490670047978742,629837.4578606285,314918.72893031425,944756.1867908832,2012960.5153226648,1480118.0259726043,2545803.004672237,930403862.9793296,631947333.0532132,1228860392.905501
Amsterdam,ssp245,2028,Netherlands,6946230.2724,11.511453460665166,636108.8806945559,318054.440347278,954163.3210417768,2033003.9827000548,1494855.8696325158,2571152.0957673085,939668088.150886,638239764.3542167,1241096411.9475863
Amsterdam,ssp245,2029,Netherlands,6946230.2724,11.532282131021532,642391.3832629796,321195.6916314898,963587.074894416,2053082.8609085,1509619.750668174,2596545.97114856,948948680.4463048,644543312.505303,1253354048.3874192
Amsterdam,ssp245,2030,Netherlands,6946230.2724,11.552969052139789,648627.3776842749,324313.68884213746,972941.0665263804,2073013.0990789677,1524274.3375581831,2621751.860599515,958160570.318388,650800196.7129501,1265520943.9238262
Amsterdam,ssp245,2031,Netherlands,6946230.2724,11.573310147321047,654760.3421884563,327380.17109422816,982140.5132826358,2092614.053634295,1538686.8041430225,2646541.3031253875,967220263.0930548,656953705.8663903,1277486820.3197703
Amsterdam,ssp245,2032,Netherlands,6946230.2724,11.593170747735131,660766.1756917837,330383.08784589183,991149.2635376411,2111808.697510902,1552800.512875843,2670816.8821458207,976092156.344511,662979658.1463333,1289204654.542735
Amsterdam,ssp245,2033,Netherlands,6946230.2724,11.61251238078831,666693.4197366618,333346.7098683309,1000040.1296049606,2130752.169478311,1566729.5363813003,2694774.802575181,984847956.2534395,668926757.7031586,1300769154.8037848
Amsterdam,ssp245,2034,Netherlands,6946230.2724,11.62654953411915,670972.029616264,335486.014808132,1006458.044424366,2144426.606653516,1576784.269598381,2712068.9437085325,991168372.910911,673219700.380427,1309117045.4414542
Amsterdam,ssp245,2035,Netherlands,6946230.2724,11.638031373062416,674534.1151088852,337267.0575544426,1011801.1726632884,2155811.0318879453,1585155.1705060222,2726466.893269718,996430330.6767426,676793718.4053594,1316066942.948186
Amsterdam,ssp245,2036,Netherlands,6946230.2724,11.648218885522624,677777.8102766745,338888.9051383372,1016666.7154149788,2166177.881644217,1592777.854150338,2739577.9091379545,1001221958.225683,680048279.5384556,1322395636.9129622
Amsterdam,ssp245,2037,Netherlands,6946230.2724,11.65755382905401,680824.4379710866,340412.2189855433,1021236.65695659,2175914.9037555605,1599937.4292322076,2751892.3782787616,1005722475.2091706,683105113.0472594,1328339837.371131
Amsterdam,ssp245,2038,Netherlands,6946230.2724,11.666109102354511,683660.0796810826,341830.0398405413,1025490.1195215784,2184977.614660714,1606601.1872506973,2763354.0420705755,1009911321.0265756,685950253.795498,1333872388.257698
Amsterdam,ssp245,2039,Netherlands,6946230.2724,11.674340141977623,686360.4098662068,343180.2049331034,1029540.6147992598,2193607.8699323693,1612946.9631857355,2774268.7766788416,1013900282.9471514,688659629.742502,1339140936.1518369
Amsterdam,ssp245,2040,Netherlands,6946230.2724,11.6826610869404,689022.8813232234,344511.4406616117,1033534.3219847748,2202117.128709004,1619203.7711097212,2785030.486308132,1017833319.475493,691331020.1394912,1344335618.8115134
Amsterdam,ssp245,2041,Netherlands,6946230.2724,11.690949623105608,691667.1763610321,345833.58818051603,1037500.7645414936,2210568.295649854,1625417.8644485795,2795718.7268509665,1021739505.5673628,693984173.2285876,1349494837.906168
Amsterdam,ssp245,2042,Netherlands,6946230.2724,11.69820373764867,694080.4834206175,347040.2417103088,1041120.7251308658,2218281.2250122945,1631089.1360386026,2805473.313985812,1025304473.2947786,696405564.5591722,1354203382.0304103
Amsterdam,ssp245,2043,Netherlands,6946230.2724,11.70485643936814,696474.4223546153,348237.21117730765,1044711.633531856,2225932.25384537,1636714.892533501,2815149.6151570505,1028840830.181988,698807522.8834226,1358874137.4805782
Amsterdam,ssp245,2044,Netherlands,6946230.2724,11.712891909224329,699423.4696983795,349711.73484918976,1049135.2045474912,2235357.4091560296,1643645.153791349,2827069.664520565,1033197200.236676,701766449.1598374,1364627951.3135133
Amsterdam,ssp245,2045,Netherlands,6946230.2724,11.723522218232857,703177.5135023613,351588.7567511806,1054766.2702534718,2247355.3331536013,1652467.1567307198,2842243.509576291,1038742721.2491714,705533068.5320112,1371952373.966327
Amsterdam,ssp245,2046,Netherlands,6946230.2724,11.736657232695633,707628.8207496806,353814.4103748403,1061443.2311244372,2261581.7111160434,1662927.7287618956,2860235.693469939,1045318248.6436244,709999287.0911508,1380637210.1960726
Amsterdam,ssp245,2047,Netherlands,6946230.2724,11.75178283944781,712609.5680822533,356304.78404112667,1068914.3521232891,2277500.179590958,1674632.4849934422,2880367.874188226,1052675871.6317672,714996719.2923449,1390355023.9711697
Amsterdam,ssp245,2048,Netherlands,6946230.2724,11.768934246840868,718183.4931901605,359091.74659508024,1077275.2397851609,2295314.4442358394,1687731.2089970333,2902897.6794743924,1060909744.3359486,720589316.338807,1401230172.3330903
Amsterdam,ssp245,2049,Netherlands,6946230.2724,11.788110616266891,724418.94677688,362209.47338844,1086628.4201652233,2315242.953898982,1702384.5249258191,2928101.38287192,1070120835.280297,726845657.9001473,1413396012.6604269
Amsterdam,ssp245,2050,Netherlands,6946230.2724,11.808534148153235,731082.8240737069,365541.41203685343,1096624.2361104733,2336540.705739672,1718044.6365733806,2955036.774905716,1079964799.15067,733531858.3364192,1426397739.964922
Amsterdam,ssp245,2051,Netherlands,6946230.2724,11.82920451602089,737827.955104936,368913.977552468,1106741.9326573005,2358098.1445154543,1733895.694496758,2982300.5945339296,1089928792.065716,740299584.6967295,1439557999.4346826
Amsterdam,ssp245,2052,Netherlands,6946230.2724,11.84890119230142,744252.6218114826,372126.3109057413,1116378.9327171226,2378631.3793095765,1748993.6612571352,3008269.097361792,1099419391.0250623,746745773.2177265,1452093008.8323607
Amsterdam,ssp245,2053,Netherlands,6946230.2724,11.86693678826269,750135.8416785267,375067.92083926336,1125203.7625176865,2397434.150004658,1762819.2279446896,3032049.0720643955,1108110157.8613918,752648701.1213393,1463571614.601416
Amsterdam,ssp245,2054,Netherlands,6946230.2724,11.884128924427175,755702.9000181783,377851.45000908914,1133554.3500271656,2415226.468458182,1775901.8150428704,3054551.121873264,1116333886.8886173,758234408.3967432,1474433365.380465
Amsterdam,ssp245,2055,Netherlands,6946230.2724,11.901997355651048,761448.4009316491,380724.2004658246,1142172.6013973756,2433589.089377631,1789403.7421895282,3077774.436565502,1124821213.543977,763999156.0058411,1485643271.082091
Amsterdam,ssp245,2056,Netherlands,6946230.2724,11.920887728679734,767581.0945090927,383790.5472545464,1151371.6417635465,2453189.1780511304,1803815.5720965224,3102562.784005514,1133880506.102253,770152393.3249776,1497608618.879522
Amsterdam,ssp245,2057,Netherlands,6946230.2724,11.940065539140264,773906.3760052057,386953.1880026029,1160859.5640077286,2473404.777712699,1818679.983612384,3128129.5718127866,1143224291.9710884,776498863.70776,1509949720.2344005
Amsterdam,ssp245,2058,Netherlands,6946230.2724,11.958121761987805,779904.3096594157,389952.1548297079,1169856.4644890467,2492574.173671525,1832775.1276997768,3152373.2196430983,1152084515.46545,782516889.6750927,1521652141.255809
